GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.traine.managment.config,JacksonConfig,0,11,0,0,0,3,0,2,0,2
,com.traine.managment.config,AsyncConfig,0,3,0,0,0,1,0,1,0,1
,com.traine.managment.config,AppConfig,0,7,0,0,0,2,0,2,0,2
,com.traine.managment.config,MapperConfig,0,14,0,0,0,4,0,2,0,2
,com.traine.managment.config,ValidationConfig,0,7,0,0,0,2,0,2,0,2
,com.traine.managment.config,CorsConfig,0,39,0,0,0,9,0,2,0,2
,com.traine.managment.config,SecurityConfig,0,69,0,0,0,14,0,8,0,8
,com.traine.managment.config,DataInitializer,0,105,1,3,0,31,1,4,0,3
,com.traine.managment.config,MinioConfig,7,47,0,2,2,19,0,4,0,3
,com.traine.managment.model,Activity,22,269,24,34,6,51,22,26,2,17
,com.traine.managment.model,RefreshToken,0,18,0,0,0,7,0,2,0,2
,com.traine.managment.model,User,3,64,4,6,3,22,4,12,0,11
,com.traine.managment.service,EmailTemplateService,0,51,0,0,0,9,0,3,0,3
,com.traine.managment.service,TrelloService,381,266,5,1,90,59,13,17,10,17
,com.traine.managment.service,ActivityService,82,1058,6,50,31,278,6,74,0,52
,com.traine.managment.service,GoogleCalendarEventService,17,8,0,0,3,3,3,2,3,2
,com.traine.managment.service,CustomUserDetailsService,5,11,0,0,0,3,1,2,1,2
,com.traine.managment.service,SmtpEmailSender,31,6,0,0,10,3,1,1,1,1
,com.traine.managment.service,UserService,60,444,2,4,2,103,10,21,8,20
,com.traine.managment.service,MinioService,82,158,4,10,25,50,4,11,1,7
,com.traine.managment.service,RequestsService,6,58,1,1,1,13,1,4,0,4
,com.traine.managment.service,ActivityStoreLineService,12,125,0,2,0,37,2,9,2,8
,com.traine.managment.service,GoogleService,286,194,7,3,70,43,12,15,8,14
,com.traine.managment.service,NotificationService,24,246,0,4,4,65,2,15,2,13
,com.traine.managment.service,JwtService,3,75,0,0,2,26,0,6,0,6
,com.traine.managment.service,AuthService,31,143,2,2,4,32,5,6,3,6
,com.traine.managment.service,BrevoAPIEmailSender,0,48,0,0,0,12,0,2,0,2
,com.traine.managment.enums.activityStoryLine,ActivityStoryLineType,0,51,0,0,0,4,0,1,0,1
,com.traine.managment.filter,JwtAuthenticationFilter,8,84,6,12,1,21,5,5,0,1
,com.traine.managment.enums.activity,ActivityPriority,0,49,0,0,0,10,0,3,0,3
,com.traine.managment.enums.activity,ActivityType,0,77,0,0,0,14,0,3,0,3
,com.traine.managment.enums.activity,ActivityStatus,6,49,0,0,3,10,1,3,1,3
,com.traine.managment.exceptions,EmailAlreadyExistsException,0,5,0,0,0,2,0,1,0,1
,com.traine.managment.exceptions,UserNotFoundedException,4,0,0,0,2,0,1,0,1,0
,com.traine.managment.exceptions,ValidationHandler,0,46,0,0,0,13,0,5,0,5
,com.traine.managment.exceptions,UsernameNotFoundException,4,0,0,0,2,0,1,0,1,0
,com.traine.managment,Application,5,3,0,0,2,1,1,1,1,1
,com.traine.managment.enums.user,Role,6,27,0,0,1,2,1,1,1,1
,com.traine.managment.enums.user,UserSector,0,33,0,0,0,2,0,1,0,1
,com.traine.managment.record,LoginResponse,0,9,0,0,0,1,0,1,0,1
,com.traine.managment.controller,UserController,0,146,1,5,0,34,1,14,0,12
,com.traine.managment.controller,ActivityController,0,145,0,0,0,28,0,14,0,14
,com.traine.managment.controller,FilesController,37,36,0,0,10,8,2,5,2,5
,com.traine.managment.controller,AuthController,20,210,7,7,2,64,8,5,1,5
,com.traine.managment.controller,ActivityStoryLineController,0,37,0,0,0,8,0,3,0,3
,com.traine.managment.controller,TrelloController,0,28,0,0,0,6,0,3,0,3
,com.traine.managment.controller,GoogleController,0,34,0,0,0,10,0,3,0,3
,com.traine.managment.controller,NotificationController,0,61,0,0,0,13,0,5,0,5
,com.traine.managment.enums.notification,NotificationType,0,15,0,0,0,2,0,1,0,1
