GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Books Microservice,com.aidanwhiteley.books.domain,User.Role,0,82,0,2,0,15,0,6,0,5
Books Microservice,com.aidanwhiteley.books.domain,Book.Rating,0,71,0,4,0,9,0,5,0,3
Books Microservice,com.aidanwhiteley.books.domain,Owner,8,91,1,7,2,26,1,6,0,3
Books Microservice,com.aidanwhiteley.books.domain,Book,9,136,5,17,2,35,5,11,0,5
Books Microservice,com.aidanwhiteley.books.domain,User,5,47,1,5,1,12,1,6,0,4
Books Microservice,com.aidanwhiteley.books.domain,Comment,1,124,4,12,0,32,4,10,0,6
Books Microservice,com.aidanwhiteley.books.domain,User.AuthenticationProvider,3,32,0,0,1,7,1,2,1,2
Books Microservice,com.aidanwhiteley.books.controller,RestApiExceptionHandler,44,119,2,4,7,22,4,10,2,9
Books Microservice,com.aidanwhiteley.books.controller,BookSecureController,87,398,23,33,13,79,23,21,4,12
Books Microservice,com.aidanwhiteley.books.controller,BookControllerHtmx,106,667,24,46,22,143,28,34,6,21
Books Microservice,com.aidanwhiteley.books.controller,BookSecureControllerHtmx,215,1111,36,54,42,220,40,30,5,20
Books Microservice,com.aidanwhiteley.books.controller,FeedsController,7,123,0,6,2,33,0,7,0,4
Books Microservice,com.aidanwhiteley.books.controller,BookController,34,221,5,21,6,36,9,20,4,12
Books Microservice,com.aidanwhiteley.books.controller,LogonController,8,7,0,0,2,2,1,2,1,2
Books Microservice,com.aidanwhiteley.books.controller,BookControllerHtmxExceptionHandling,40,143,6,6,8,31,7,8,2,7
Books Microservice,com.aidanwhiteley.books.controller,UserController,44,126,5,9,10,33,6,8,1,6
Books Microservice,com.aidanwhiteley.books,BooksApplication,5,3,0,0,2,1,1,1,1,1
Books Microservice,com.aidanwhiteley.books.controller.config,WebSecurityConfiguration,0,211,0,0,0,46,0,15,0,15
Books Microservice,com.aidanwhiteley.books.controller.config,HttpCookieOAuth2AuthorizationRequestRepository,12,155,3,5,3,41,4,10,1,9
Books Microservice,com.aidanwhiteley.books.controller.config,WebSecurityConfiguration.Oauth2AuthenticationSuccessHandler,0,32,0,0,0,7,0,2,0,2
Books Microservice,com.aidanwhiteley.books.controller.config,OpenApiConfig,0,45,0,0,0,9,0,2,0,2
Books Microservice,com.aidanwhiteley.books.controller.config,WebSecurityConfiguration.SpaCsrfTokenRequestHandler,0,47,0,2,0,11,0,4,0,3
Books Microservice,com.aidanwhiteley.books.controller.jwt,JwtAuthenticationService,25,209,7,12,9,53,7,11,0,8
Books Microservice,com.aidanwhiteley.books.controller.jwt,JwtAuthenticationFilter,0,92,3,7,0,26,3,6,0,4
Books Microservice,com.aidanwhiteley.books.controller.jwt,JwtUtils,13,180,1,7,3,41,1,9,0,6
Books Microservice,com.aidanwhiteley.books.controller.jwt,JwtAuthentication,12,194,8,10,2,37,10,13,2,12
Books Microservice,com.aidanwhiteley.books.util,GoodReadsBookExport,18,334,8,14,5,59,8,16,0,13
Books Microservice,com.aidanwhiteley.books.util,ClientInputSanitiserUtils,7,47,0,16,2,11,1,10,1,2
Books Microservice,com.aidanwhiteley.books.util,SiteRssFeed,0,110,0,0,0,27,0,3,0,3
Books Microservice,com.aidanwhiteley.books.util,HtmlSanitiserUtils,7,33,0,0,2,5,1,2,1,2
Books Microservice,com.aidanwhiteley.books.util,LogDetaint,0,6,0,0,0,1,0,1,0,1
