GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gymstock,com.asafeorneles.gymstock.config,SecurityConfig,0,167,0,0,0,28,0,12,0,12
gymstock,com.asafeorneles.gymstock.config,OpenApiConfig,0,32,0,0,0,11,0,2,0,2
gymstock,com.asafeorneles.gymstock.dtos.product,ProductResponse,0,21,0,0,0,1,0,1,0,1
gymstock,com.asafeorneles.gymstock.dtos.product,ProductCreateRequest,0,27,0,0,0,1,0,1,0,1
gymstock,com.asafeorneles.gymstock.dtos.product,ProductDetailResponse,0,33,0,0,0,1,0,1,0,1
gymstock,com.asafeorneles.gymstock.dtos.product,ProductUpdateRequest,0,21,0,0,0,1,0,1,0,1
gymstock,com.asafeorneles.gymstock.dtos.product,ProductDeactivateRequest,0,6,0,0,0,1,0,1,0,1
gymstock,com.asafeorneles.gymstock.dtos.sale,SalePaymentMethodRequest,0,6,0,0,0,1,0,1,0,1
gymstock,com.asafeorneles.gymstock.dtos.sale,SaleResponse,0,24,0,0,0,1,0,1,0,1
gymstock,com.asafeorneles.gymstock.dtos.sale,SaleCreateRequest,0,12,0,0,0,1,0,1,0,1
gymstock,com.asafeorneles.gymstock.queryFilters,CategoryQueryFilters,8,0,0,0,1,0,1,0,1,0
gymstock,com.asafeorneles.gymstock.queryFilters,ProductDetailsQueryFilters,44,0,0,0,11,0,1,0,1,0
gymstock,com.asafeorneles.gymstock.queryFilters,CouponQueryFilters,12,0,0,0,3,0,1,0,1,0
gymstock,com.asafeorneles.gymstock.queryFilters,ProductQueryFilters,38,0,0,0,10,0,1,0,1,0
gymstock,com.asafeorneles.gymstock.queryFilters,SaleQueryFilters,39,0,4,0,9,0,3,0,1,0
gymstock,com.asafeorneles.gymstock.dtos.ProductInventory,ProductInventoryResponse,0,12,0,0,0,1,0,1,0,1
gymstock,com.asafeorneles.gymstock.dtos.ProductInventory,ProductInventoryDetailResponse,0,18,0,0,0,1,0,1,0,1
gymstock,com.asafeorneles.gymstock.dtos.ProductInventory,ProductInventoryLowStockThresholdRequest,0,6,0,0,0,1,0,1,0,1
gymstock,com.asafeorneles.gymstock.dtos.ProductInventory,ProductInventoryQuantityRequest,0,6,0,0,0,1,0,1,0,1
gymstock,com.asafeorneles.gymstock.dtos.coupon,CouponAppliedResponse,0,9,0,0,0,1,0,1,0,1
gymstock,com.asafeorneles.gymstock.dtos.coupon,CouponResponse,0,30,0,0,0,1,0,1,0,1
gymstock,com.asafeorneles.gymstock.dtos.coupon,CreateCouponRequest,0,27,0,0,0,1,0,1,0,1
gymstock,com.asafeorneles.gymstock.dtos.analytics,TopSellingProductsResponse,0,12,0,0,0,1,0,1,0,1
gymstock,com.asafeorneles.gymstock.dtos.exception,ExceptionResponse,15,0,0,0,1,0,1,0,1,0
gymstock,com.asafeorneles.gymstock.dtos.exception,ExceptionValidationResponse,18,0,0,0,1,0,1,0,1,0
gymstock,com.asafeorneles.gymstock,GymStockApplication,5,3,0,0,2,1,1,1,1,1
gymstock,com.asafeorneles.gymstock.enums,PaymentMethod,0,27,0,0,0,2,0,1,0,1
gymstock,com.asafeorneles.gymstock.enums,RoleName,0,15,0,0,0,3,0,1,0,1
gymstock,com.asafeorneles.gymstock.enums,InventoryStatus,0,21,0,0,0,2,0,1,0,1
gymstock,com.asafeorneles.gymstock.enums,ActivityStatus,0,15,0,0,0,2,0,1,0,1
gymstock,com.asafeorneles.gymstock.enums,DiscountType,0,15,0,0,0,2,0,1,0,1
gymstock,com.asafeorneles.gymstock.enums,Permission,242,0,0,0,37,0,2,0,2,0
gymstock,com.asafeorneles.gymstock.security,TokenService,5,77,0,2,0,20,1,4,1,3
gymstock,com.asafeorneles.gymstock.security,SetupService,5,43,0,2,0,12,1,2,1,1
gymstock,com.asafeorneles.gymstock.security,SetupController,9,0,0,0,2,0,1,0,1,0
gymstock,com.asafeorneles.gymstock.security,CustomUserDetailsService,129,0,5,0,24,0,8,0,5,0
gymstock,com.asafeorneles.gymstock.dtos.auth,RegisterRequest,0,12,0,0,0,1,0,1,0,1
gymstock,com.asafeorneles.gymstock.dtos.auth,FirstAdminRequest,0,9,0,0,0,1,0,1,0,1
gymstock,com.asafeorneles.gymstock.dtos.auth,RefreshTokenRequest,0,6,0,0,0,1,0,1,0,1
gymstock,com.asafeorneles.gymstock.dtos.auth,LoginRequest,0,9,0,0,0,1,0,1,0,1
gymstock,com.asafeorneles.gymstock.dtos.auth,LoginResponse,0,12,0,0,0,1,0,1,0,1
gymstock,com.asafeorneles.gymstock.dtos.user,UserSoldByResponse,0,9,0,0,0,1,0,1,0,1
gymstock,com.asafeorneles.gymstock.dtos.user,UserResponse,15,0,0,0,1,0,1,0,1,0
gymstock,com.asafeorneles.gymstock.mapper,ProductInventoryMapperImpl,8,85,4,4,4,29,4,5,0,5
gymstock,com.asafeorneles.gymstock.mapper,SaleItemMapperImpl,6,65,3,3,3,22,3,4,0,4
gymstock,com.asafeorneles.gymstock.mapper,UserMapper,3,0,0,0,1,0,1,0,1,0
gymstock,com.asafeorneles.gymstock.mapper,UserMapperImpl,75,23,7,1,20,8,6,2,2,2
gymstock,com.asafeorneles.gymstock.mapper,CouponMapperImpl,4,112,2,2,2,33,2,3,0,3
gymstock,com.asafeorneles.gymstock.mapper,SaleMapper,2,12,1,1,1,4,1,1,0,1
gymstock,com.asafeorneles.gymstock.mapper,SaleMapperImpl,18,91,4,4,7,26,4,4,1,3
gymstock,com.asafeorneles.gymstock.mapper,ProductMapperImpl,7,185,4,4,4,57,4,5,0,5
gymstock,com.asafeorneles.gymstock.mapper,CategoryMapperImpl,7,83,4,4,4,28,4,5,0,5
gymstock,com.asafeorneles.gymstock.specifications,CategorySpec,34,0,4,0,9,0,7,0,5,0
gymstock,com.asafeorneles.gymstock.specifications,CouponSpec,49,0,6,0,13,0,10,0,7,0
gymstock,com.asafeorneles.gymstock.specifications,ProductSpec,183,0,22,0,47,0,36,0,25,0
