GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure.authentication.mfa,MfaValidationServiceImpl,0,12,0,0,0,4,0,2,0,2
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure.authentication.mfa,MfaSetupRequiredFilter,12,114,1,7,4,30,1,10,0,7
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure.authentication.mfa,MfaSetupServiceImpl,0,82,0,6,0,22,0,6,0,3
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure.authentication.mfa,MfaException,0,5,0,0,0,2,0,1,0,1
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure.authentication.mfa,MfaRequiredException,0,4,0,0,0,2,0,1,0,1
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure.authentication.mfa,MfaAuthenticationProvider,4,143,0,24,1,34,1,17,1,5
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure.authentication.mfa,MfaAuthenticationToken,0,8,0,0,0,3,0,1,0,1
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure.authentication.mfa,MfaTotpVerificationCheck,0,21,0,2,0,6,0,3,0,2
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure.utils,FormUtil,14,54,0,2,3,12,1,4,1,3
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure.authentication,DefaultUserProvider,0,9,0,0,0,2,0,2,0,2
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure.authentication,AbstractRestAuthenticationSuccessHandler,0,11,0,0,0,2,0,1,0,1
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure.authentication,UserResolver,0,37,0,2,0,9,0,4,0,3
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure.authentication,DefaultUserProvider.new RegisteredUser() {...},0,20,0,0,0,5,0,3,0,3
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure.authentication,ArgumentResolverConfig,0,15,0,0,0,5,0,2,0,2
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure.authentication,RegisteredUser,0,16,0,0,0,8,0,8,0,8
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure.authentication,CurrentUserArgumentResolver,0,47,0,4,0,10,0,6,0,4
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure.authentication,DefaultAuthenticationResultProvider,0,9,0,0,0,2,0,2,0,2
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure.authentication,AuthenticationController,0,19,0,0,0,5,0,3,0,3
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure.authentication,DefaultAuthenticationResultProvider.new AuthenticationResult() {...},0,14,0,0,0,3,0,3,0,3
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure.authentication,UserDetailsAdapter,0,60,0,6,0,12,0,13,0,10
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure.authentication,AuthenticationAdapter,0,14,0,0,0,4,0,2,0,2
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure.authentication,AbstractUserDetailsService,0,20,0,2,0,5,0,3,0,2
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure.form,FormValues,0,9,0,0,0,1,0,1,0,1
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure.form,LoginForm,0,3,0,0,0,1,0,1,0,1
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure,RestAuthenticationFilter,0,131,0,4,0,32,0,8,0,6
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure,RestAuthenticationFilterConfigurer,0,44,2,6,0,13,2,3,0,1
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure,MfaSecurityAutoConfig,0,16,0,0,0,3,0,3,0,3
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure,WebSecurityAutoConfig,5,303,1,13,1,73,1,35,0,29
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure.errorhandling,GenericErrorHandler,0,30,0,0,0,10,0,2,0,2
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure.errorhandling,LogUtil,0,37,2,4,0,5,2,2,0,1
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure.errorhandling,WebMvcErrorHandler,0,14,0,0,0,4,0,2,0,2
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure.errorhandling,RestAccessDeniedHandler,0,49,0,2,0,15,0,5,0,4
42 REST Secure Spring Boot Starter,nl._42.restsecure.autoconfigure.errorhandling,DefaultLoginAuthenticationExceptionHandler,0,22,1,3,0,5,1,2,0,1
