GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SaaS Backend Starter,com.urke.saasbackendstarter.mapper,UserMapper,85,0,10,0,26,0,11,0,6,0
SaaS Backend Starter,com.urke.saasbackendstarter.mapper,RoleMapper,9,54,4,4,3,20,5,2,1,2
SaaS Backend Starter,com.urke.saasbackendstarter.mapper,OrganizationMapper,29,0,4,0,11,0,5,0,3,0
SaaS Backend Starter,com.urke.saasbackendstarter.mapper,PermissionMapper,6,30,2,2,2,11,3,1,1,1
SaaS Backend Starter,com.urke.saasbackendstarter.mapper,UserFileMapper,22,0,0,0,8,0,2,0,2,0
SaaS Backend Starter,com.urke.saasbackendstarter.controller,FileController,179,0,2,0,34,0,8,0,7,0
SaaS Backend Starter,com.urke.saasbackendstarter.controller,PasswordResetController,34,0,0,0,6,0,2,0,2,0
SaaS Backend Starter,com.urke.saasbackendstarter.controller,RoleController,13,79,2,2,0,21,4,4,2,4
SaaS Backend Starter,com.urke.saasbackendstarter.controller,NotificationWebSocketController,12,0,0,0,3,0,2,0,2,0
SaaS Backend Starter,com.urke.saasbackendstarter.controller,PermissionController,45,16,2,0,10,5,3,1,2,1
SaaS Backend Starter,com.urke.saasbackendstarter.controller,AuthController,0,29,0,2,0,6,0,4,0,3
SaaS Backend Starter,com.urke.saasbackendstarter.controller,OrganizationController,0,54,1,3,0,11,1,4,0,3
SaaS Backend Starter,com.urke.saasbackendstarter.controller,UserController,430,0,30,0,72,0,38,0,23,0
SaaS Backend Starter,com.urke.saasbackendstarter.events,OrganizationEvent.Type,0,21,0,0,0,1,0,1,0,1
SaaS Backend Starter,com.urke.saasbackendstarter.events,UserEvent.Type,21,0,0,0,1,0,1,0,1,0
SaaS Backend Starter,com.urke.saasbackendstarter.events,OrganizationEventListener,30,0,0,0,5,0,3,0,3,0
SaaS Backend Starter,com.urke.saasbackendstarter.events,UserEvent,16,0,0,0,6,0,3,0,3,0
SaaS Backend Starter,com.urke.saasbackendstarter.events,UserEventListener,30,0,0,0,5,0,3,0,3,0
SaaS Backend Starter,com.urke.saasbackendstarter.events,OrganizationEvent,6,10,0,0,2,4,2,1,2,1
SaaS Backend Starter,com.urke.saasbackendstarter.audit,AuditLogMapper,2,26,1,1,0,10,1,1,0,1
SaaS Backend Starter,com.urke.saasbackendstarter.audit,AuditLogController,0,16,0,0,0,5,0,1,0,1
SaaS Backend Starter,com.urke.saasbackendstarter.audit,AuditLogServiceImpl,70,0,14,0,19,0,9,0,2,0
SaaS Backend Starter,com.urke.saasbackendstarter.service.impl,OrganizationServiceImpl,0,146,0,4,0,34,0,12,0,10
SaaS Backend Starter,com.urke.saasbackendstarter.service.impl,NotificationServiceImpl,38,0,0,0,7,0,4,0,4,0
SaaS Backend Starter,com.urke.saasbackendstarter.service.impl,UserServiceImpl,216,0,6,0,42,0,17,0,14,0
SaaS Backend Starter,com.urke.saasbackendstarter.service.impl,RoleServiceImpl,36,0,2,0,6,0,4,0,3,0
SaaS Backend Starter,com.urke.saasbackendstarter.service.impl,PermissionServiceImpl,17,0,0,0,3,0,3,0,3,0
SaaS Backend Starter,com.urke.saasbackendstarter.service.impl,PasswordResetServiceImpl,167,0,2,0,35,0,5,0,4,0
SaaS Backend Starter,com.urke.saasbackendstarter.service.impl,AuthServiceImpl,20,207,0,4,1,50,2,9,2,7
SaaS Backend Starter,com.urke.saasbackendstarter.service.impl,UserExportServiceImpl,16,294,0,8,4,51,0,10,0,6
SaaS Backend Starter,com.urke.saasbackendstarter.service.impl,FileUploadServiceImpl,166,0,4,0,31,0,7,0,5,0
SaaS Backend Starter,com.urke.saasbackendstarter,SaasBackendStarterApplication,5,3,0,0,2,1,1,1,1,1
SaaS Backend Starter,com.urke.saasbackendstarter.service,DummyNotificationService,37,0,0,0,8,0,5,0,5,0
SaaS Backend Starter,com.urke.saasbackendstarter.service,DummyEmailService,25,0,0,0,4,0,3,0,3,0
SaaS Backend Starter,com.urke.saasbackendstarter.health,DemoApiHealthIndicator,40,0,4,0,15,0,4,0,2,0
SaaS Backend Starter,com.urke.saasbackendstarter.config,RestTemplateConfig,7,0,0,0,2,0,2,0,2,0
SaaS Backend Starter,com.urke.saasbackendstarter.config,SwaggerConfig,36,0,0,0,12,0,2,0,2,0
SaaS Backend Starter,com.urke.saasbackendstarter.config,StartupDataConfig,231,0,10,0,52,0,15,0,10,0
SaaS Backend Starter,com.urke.saasbackendstarter.config,WebSocketConfig,52,0,0,0,8,0,2,0,2,0
SaaS Backend Starter,com.urke.saasbackendstarter.config,I18nConfig,27,0,0,0,9,0,3,0,3,0
SaaS Backend Starter,com.urke.saasbackendstarter.dto.auth,LoginResponse,0,12,0,0,0,5,0,1,0,1
SaaS Backend Starter,com.urke.saasbackendstarter.dto.auth,RefreshTokenResponse,0,12,0,0,0,5,0,1,0,1
SaaS Backend Starter,com.urke.saasbackendstarter.exception,FileNotFoundOrForbiddenException,4,0,0,0,2,0,1,0,1,0
SaaS Backend Starter,com.urke.saasbackendstarter.exception,OrganizationAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
SaaS Backend Starter,com.urke.saasbackendstarter.exception,AuthException,0,4,0,0,0,2,0,1,0,1
SaaS Backend Starter,com.urke.saasbackendstarter.exception,RoleNotFoundException,4,0,0,0,2,0,1,0,1,0
SaaS Backend Starter,com.urke.saasbackendstarter.exception,RestExceptionHandler,244,82,1,1,48,20,13,5,12,5
SaaS Backend Starter,com.urke.saasbackendstarter.exception,OrganizationNotFoundException,0,4,0,0,0,2,0,1,0,1
SaaS Backend Starter,com.urke.saasbackendstarter.exception,PasswordResetTokenInvalidException,4,0,0,0,2,0,1,0,1,0
SaaS Backend Starter,com.urke.saasbackendstarter.exception,UserAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
SaaS Backend Starter,com.urke.saasbackendstarter.exception,FileUploadException,9,0,0,0,4,0,2,0,2,0
SaaS Backend Starter,com.urke.saasbackendstarter.exception,PermissionNotFoundException,4,0,0,0,2,0,1,0,1,0
SaaS Backend Starter,com.urke.saasbackendstarter.exception,PasswordResetTokenExpiredException,4,0,0,0,2,0,1,0,1,0
